event_id,year,documentary_event_date,role
EVENT004,2017,2017-08-16,retained flood event
EVENT003,2020,2020-07-24,retained flood event; corrected baseline branch
EVENT002,2024,2024-08-23,retained flood event
EVENT001,2026,2026-07-12,retained flood event
